_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
66201582a45a2d53710a6b22,,55.58,97.2,55.58,65.04,139;0;0;0,time,30,-1,2,30.01,0,1.12,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713378690000
6620152fa45a2d53710a664e,,53.39,94.06,53.39,62.03,267;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713378607000
662014eea45a2d53710a6218,,53.39,96.09,53.39,62.73,267;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713378542000
66201402a45a2d53710a5347,,56.59,97.61,56.59,66.55,283;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713378306000
662013bfa45a2d53710a4f11,,57.39,97.31,57.39,64.74,287;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713378239000
66201382a45a2d53710a4b47,,50.99,96.25,50.99,57.31,255;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713378178000
6620133da45a2d53710a4786,,49.39,96.17,49.39,56.66,247;0;0;0,time,60,-1,2,60.01,2,5.62,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713378109000
662012aaa45a2d53710a3f03,,50.19,96.18,50.19,60.58,251;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713377962000
66201269a45a2d53710a3b01,,53.79,96.13,54.19,66.41,269;1;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713377897000
6620122aa45a2d53710a3723,,54.99,97.88,54.99,59.78,275;0;0;0,time,60,-1,0,60.01,1,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713377834000
66201190a45a2d53710a2dea,,55.19,96.58,55.19,61.13,276;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713377680000
66201151a45a2d53710a2a31,,53.39,96.4,53.39,65.44,267;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713377617000
66201112a45a2d53710a2664,,49.19,95.37,49.19,59.13,246;0;0;0,time,60,-1,0,60.01,1,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713377554000
662010d3a45a2d53710a229e,,53.19,96.75,53.19,61.05,266;0;0;0,time,60,-1,2,60.01,1,12.58,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713377491000
66201047a45a2d53710a1a82,,52.79,96.73,52.79,60.73,264;0;0;0,time,60,-1,0,60.01,1,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713377351000
66201003a45a2d53710a163a,,52,97.4,52,52.15,260;0;0;0,time,60,-1,0,60,1,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713377283000
66200fbfa45a2d53710a11e5,,54.59,98.58,55.59,66.36,273;1;0;0,time,60,-1,0,60.01,1,0,false,false,english,none,normal,false,false,false,661e403ba45a2d5371f5f27f,1713377215000
